mw:tIrTI,85640:in compound for tIrTa
mw:tIvrI,85701:in compound for tIvra
mw:tUr,86410:in compound for tur
mw:trizwuk,88433:in compound for trizwup
mw:tvakat,88932:in compound for tvat
mw:tvat,88935:in compound for tva
mw:tvak,88992:in compound for tvac
mw:daDy,89990:in compound for daDi
mw:dAma,91426:in compound for dAman
mw:divo,92376:in compound for divas
mw:dik,92473:in compound for diS
mw:dig,92511:in compound for diS
mw:diN,92576:in compound for diS
mw:dIrGI,93272:in compound for dIrGa
mw:duH,93288:in compound for dus
mw:dur,93630:in compound for dus
mw:duS,94505:in compound for dus
mw:duz,94542:in compound for dus
mw:dU,94693:in compound for dus
mw:duvo,94740:in compound for duvas
mw:dUrI,95011:in compound for dUra
mw:dfQI,95210:in compound for dfQa
mw:dfk,95264:in compound for dfS
mw:dfg,95283:in compound for dfS
mw:dfN,95306:in compound for dfS
mw:dfzac,95467:in compound for dfzad
mw:dfzat,95469:in compound for dfzad
mw:dfzan,95491:in compound for dfzad
mw:devi,96421:in compound for devI
mw:devy,96507:in compound for devI
mw:doH,97104:in compound for dos
mw:dor,97109:in compound for dos
mw:dOH,97166:in compound for dus
mw:dyu,97281:in compound for div
mw:draviRo,97619:in compound for draviRas
mw:dravI,97626:in compound for drava
mw:dvA,98156:in compound for dvi
mw:dvAdaSa,98211:in compound for dvAdaSa
mw:dvAH,98309:in compound for dvAr
mw:dvir,98923:in compound for dvis
mw:dviz,98954:in compound for dvis
mw:dviw,98963:in compound for dviz
mw:dvE,99052:in compound for dvi
mw:dvEDI,99121:in compound for dvEDa
mw:dvy,99146:in compound for dvi
mw:DanuH,99539:in compound for Danus
mw:Danur,99549:in compound for Danus
mw:Danuz,99604:in compound for Danus
mw:DanvA,99679:in compound for Danvan
mw:Darma,100472:in compound for Darman
mw:DavalI,100600:in compound for Davala
mw:DAma,100855:in compound for DAman
mw:Dig,101202:in compound for Dik
mw:DUr,101738:in compound for Dur
mw:DyAni,102242:in compound for DyAnin
mw:DvajI,102491:in compound for Dvaja
mw:Dvany,102532:in compound for Dvani
mw:nagnI,103161:in compound for nagna
mw:naq,103227:in compound for naqa
mw:naBaH,103712:in compound for naBas
mw:naBaS,103739:in compound for naBas
mw:naBo,103784:in compound for naBas
mw:namo,103874:in compound for namas
mw:narI,104224:in compound for nara
mw:narma,104323:in compound for narman
mw:navI,104582:in compound for nava
mw:nAgI,105217:in compound for nAga
mw:nAndi,105607:in compound for nAndI
mw:nAma,105726:in compound for nAman
mw:nikawI,107820:in compound for nikawa
mw:niS,110457:in compound for nis
mw:niz,110651:in compound for nis
mw:nIcEH,111348:in compound for nIcEs
mw:nIcEr,111353:in compound for nIcEs
mw:nEH,112407:in compound for nis
mw:nEr,112417:in compound for nis
mw:nES,112477:in compound for nis
mw:nEz,112481:in compound for nis
mw:nAv,112648:in compound for nO
mw:nyak,112687:in compound for nyaYc
mw:nyag,112699:in compound for nyaYc
mw:nyUnI,113022:in compound for nyUna
mw:pakzi,113220:in compound for pakzin
mw:pakzma,113263:in compound for pakzman
mw:paNktI,113390:in compound for paNkti
mw:paYca,113536:in compound for paYcan
mw:paYcadaSa,113672:in compound for paYcadaSan
mw:paYcasapta,113977:in compound for paYcasaptan
mw:paYcASac,114201:in compound for paYcASat
mw:paYcASad,114212:in compound for paYcASat
mw:paYcI,114222:in compound for paYca
mw:paq,114545:in compound for pad
mw:patatri,114755:in compound for patatrin
mw:patad,114766:in compound for patat
mw:paTi,115117:in compound for paTin
mw:pac,115171:in compound for pad
mw:paj,115175:in compound for pad
mw:pat,115177:in compound for pad
mw:paya,115892:in compound for payas
mw:payaH,115897:in compound for payas
mw:payaS,115909:in compound for payas
mw:payo,115951:in compound for payas
mw:para,116437:in compound for paras
mw:paraH,116441:in compound for paras
mw:paraS,116640:in compound for paras
mw:parA,116675:in compound for para
mw:pare,116695:in compound for para
